metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
istio.mesh.request.count,gauge,,request,,The number of requests,0,istio,request count
istio.mesh.request.duration.count,gauge,,millisecond,,count of request durations,0,istio,request durations count
istio.mesh.request.duration.sum,gauge,,millisecond,,sum of request durations,0,istio,request durations sum
istio.mesh.request.size.count,gauge,,request,,count of request sizes,0,istio,request sizes count
istio.mesh.request.size.sum,gauge,,request,,sum of request sizes,0,istio,request sizes sum
istio.mesh.response.size.count,gauge,,response,,count of response sizes,0,istio,response sizes count
istio.mesh.response.size.sum,gauge,,response,,sum of response sizes,0,istio,response sizes sum
istio.mixer.adapter.dispatch_count,gauge,,,,,,,
istio.mixer.adapter.dispatch_duration.count,gauge,,,,,,,
istio.mixer.adapter.dispatch_duration.sum,gauge,,,,,,,
istio.mixer.adapter.old_dispatch_count,gauge,,,,,,,
istio.mixer.adapter.old_dispatch_duration.count,gauge,,,,,,,
istio.mixer.adapter.old_dispatch_duration.sum,gauge,,,,,,,
istio.mixer.config.resolve_actions.count,gauge,,,,,,,
istio.mixer.config.resolve_actions.sum,gauge,,,,,,,
istio.mixer.config.resolve_count,gauge,,,,,,,
istio.mixer.config.resolve_duration.count,gauge,,,,,,,
istio.mixer.config.resolve_duration.sum,gauge,,,,,,,
istio.mixer.config.resolve_rules.count,gauge,,,,,,,
istio.mixer.config.resolve_rules.sum,gauge,,,,,,,
istio.mixer.go.gc_duration_seconds.count,gauge,,second,,,,,
istio.mixer.go.gc_duration_seconds.quantile,gauge,,second,,,,,
istio.mixer.go.gc_duration_seconds.sum,gauge,,second,,,,,
istio.mixer.go.goroutines,gauge,,thread,,,,,
istio.mixer.go.info,gauge,,,,,,,
istio.mixer.go.memstats.alloc_bytes,gauge,,byte,,,,,
istio.mixer.go.memstats.alloc_bytes_total,gauge,,byte,,,,,
istio.mixer.go.memstats.buck_hash_sys_bytes,gauge,,,,,,,
istio.mixer.go.memstats.frees_total,gauge,,,,,,,
istio.mixer.go.memstats.gc_cpu_fraction,gauge,,percentage,,,,,
istio.mixer.go.memstats.gc_sys_bytes,gauge,,byte,,,,,
istio.mixer.go.memstats.heap_alloc_bytes,gauge,,byte,,,,,
istio.mixer.go.memstats.heap_idle_bytes,gauge,,byte,,,,,
istio.mixer.go.memstats.heap_inuse_bytes,gauge,,byte,,,,,
istio.mixer.go.memstats.heap_objects,gauge,,object,,,,,
istio.mixer.go.memstats.heap_released_bytes,gauge,,byte,,,,,
istio.mixer.go.memstats.heap_sys_bytes,gauge,,byte,,,,,
istio.mixer.go.memstats.last_gc_time_seconds,gauge,,second,,,,,
istio.mixer.go.memstats.lookups_total,gauge,,operation,,,,,
istio.mixer.go.memstats.mallocs_total,gauge,,,,,,,
istio.mixer.go.memstats.mcache_inuse_bytes,gauge,,byte,,,,,
istio.mixer.go.memstats.mcache_sys_bytes,gauge,,byte,,,,,
istio.mixer.go.memstats.mspan_inuse_bytes,gauge,,byte,,,,,
istio.mixer.go.memstats.mspan_sys_bytes,gauge,,byte,,,,,
istio.mixer.go.memstats.next_gc_byte,gauge,,byte,,,,,
istio.mixer.go.memstats.other_sys_bytes,gauge,,byte,,,,,
istio.mixer.go.memstats.stack_inuse_bytes,gauge,,byte,,,,,
istio.mixer.go.memstats.stack_sys_bytes,gauge,,byte,,,,,
istio.mixer.go.memstats.sys_bytes,gauge,,byte,,,,,
istio.mixer.go.threads,gauge,,thread,,,,,
istio.mixer.grpc.server.handled_total,gauge,,,,,,,
istio.mixer.grpc.server.handling_seconds.count,gauge,,,,,,,
istio.mixer.grpc.server.handling_seconds.sum,gauge,,,,,,,
istio.mixer.grpc.server.msg_received_total,gauge,,,,,,,
istio.mixer.grpc.server.msg_sent_total,gauge,,,,,,,
istio.mixer.grpc.server.started_total,gauge,,,,,,,
istio.mixer.process.cpu_seconds_total,gauge,,,,,,,
istio.mixer.process.max_fds,gauge,,,,,,,
istio.mixer.process.open_fds,gauge,,,,,,,
istio.mixer.process.resident_memory_bytes,gauge,,,,,,,
istio.mixer.process.start_time_seconds,gauge,,,,,,,
istio.mixer.process.virtual_memory_bytes,gauge,,,,,,,
